1password-beta 8.12.30_19.BETA-19.1
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libinput-tools 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libixion 0.20.0-7
libjpeg-turbo 3.2.0-2
libjuice 1.7.2-1
libjxl 0.12.0-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblo 1:0.36-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 16.1.1+r346+g4e03491b401d-4
libltc 1.3.2-2
libluv 1.52.1-1
liblzf 3.6-5
libmakepkg-dropins 20-1
libmanette 0.2.13-2
libmd 1.2.0-1
libmfx 23.2.2-6
libmicrodns 0.2.0-2
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmpdclient 2.26-1
libmspub 0.1.5-1
libmtp 1.1.23-1
libmwaw 0.3.22-4
libmysofa 1.3.4-1
libnautilus-extension 50.2.2-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.17.0-1
libngtcp2 1.24.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-2
libnotify 0.8.8-1
libnsbmp 0.1.7-2
libnsgif 1.0.0-2
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnumbertext 1.0.11-3
libnvme 1.16.2-1
libobjc 16.1.1+r346+g4e03491b401d-4
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.7-1
libopenraw 0.3.7-2
liborcus 0.21.0-6
libosinfo 1.12.0-3
libp11-kit 0.26.4-1
libpagemaker 0.0.4-5
libpaper 2.2.8-1
libpathrs 0.2.5-2
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-3
libplist 2.7.0-3
libpng 1.6.58-2
libpng12 1.2.59-3
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libportal-qt6 0.10.0-1
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.12.0-1
libquadmath 16.1.1+r346+g4e03491b401d-4
libqxp 0.0.3-1
libraqm 0.10.5-1
libraw 0.22.2-1
libraw1394 2.1.2-4
